dataset,organism,state,state_numeric,drug,dose_value,dose_unit,dose_xmic,unit_group,n0_log10,time_days,y_log10,censored,limit_log10,notes,isolate_index,sample_id,mpn_raw,MIC_INH,MIC_RIF,INH-Suceptibility,Time_to_0.4,Time_point,Tolerant_level_D5_15,Tolerant_level_D5_60
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_027_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,27,IR27,230000.0,3.2,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_027_age15d,5.361727836017593,2.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,27,IR27,23000.0,3.2,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_027_age15d,5.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,27,IR27,230.0,3.2,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_028_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,28,IR28,230000.0,1.6,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_028_age15d,5.361727836017593,2.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,28,IR28,23000.0,1.6,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_028_age15d,5.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,28,IR28,230.0,1.6,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_029_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,29,IR29,230000.0,1.6,0.03,IR,12.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_029_age15d,5.361727836017593,2.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,29,IR29,2300.0,1.6,0.03,IR,12.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_029_age15d,5.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,29,IR29,230.0,1.6,0.03,IR,12.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_030_age15d,5.785329835010767,0.0,5.785329835010767,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,30,IR30,610000.0,3.2,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_030_age15d,5.785329835010767,2.0,4.785329835010767,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,30,IR30,61000.0,3.2,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_030_age15d,5.785329835010767,5.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,30,IR30,2300.0,3.2,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_031_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,31,IR31,230000.0,1.6,0.03,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_031_age15d,5.361727836017593,2.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,31,IR31,23000.0,1.6,0.03,IR,15.0,0M,Medium,Medium
